NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCircElec
6,NEUSCHWANGER,Pascal,M.,EXG,Extrême gauche,6802
7,STRAUB,Tiffany,Mme,DIV,Divers,6802
8,BURGEL,Jean-Marc,M.,REG,Régionaliste,6802
9,DOUDE VAN TROOSTWIJK,Nathan,M.,DVG,Divers gauche,6802
10,KLACK,Daniel,M.,DVD,Divers droite,6802
1,WAECHTER,Antoine,M.,ECO,Ecologistes,6803
2,CRESSIN,Gaelle,Mme,ECO,Ecologistes,6803
3,NOEL,Sandrine,Mme,REC,Reconquête !,6803
4,FISCHER,Simone,Mme,DSV,Droite souverainiste,6803
5,ZELLER,Thomas,M.,DVD,Divers droite,6803
6,ZOELLE,Jean-Denis,M.,REG,Régionaliste,6803
7,FERRY,Géraud,M.,EXG,Extrême gauche,6803
8,ZIMMERMANN,Christian,M.,RN,Rassemblement National,6803
9,LEMAIRE,Didier,M.,ENS,Ensemble ! (Majorité présidentielle),6803
10,VIROULET,Bénédicte,Mme,UG,Union de la gauche,6803
1,DIOP,Raymonde,Mme,REC,Reconquête !,6804
2,HELFRICH,Maxence,M.,REG,Régionaliste,6804
3,SENSE,Aime,M.,EXG,Extrême gauche,6804
4,MORGEN,Corinne,Mme,ECO,Ecologistes,6804
5,FEST,Simone,Mme,UG,Union de la gauche,6804
6,SCHELLENBERGER,Raphaël,M.,LR,Les Républicains,6804
7,WILHELM,Marion,Mme,RN,Rassemblement National,6804
1,SPINALI,Romain,M.,REG,Régionaliste,6805
2,EL HAJJAJI,Nadia,Mme,UG,Union de la gauche,6805
3,LOUNES,Rachid,M.,ECO,Ecologistes,6805
4,PINTO,Pierre,M.,RN,Rassemblement National,6805
5,KELTOUMI,Salah,M.,EXG,Extrême gauche,6805
6,BECHT,Olivier,M.,ENS,Ensemble ! (Majorité présidentielle),6805
7,TAFFARELLI,Emmanuel,M.,REC,Reconquête !,6805
8,DOLUI,David,M.,DVG,Divers gauche,6805
9,BAECHLER,Jean-Frédéric,M.,REG,Régionaliste,6805
1,FUCHS,Bruno,M.,ENS,Ensemble ! (Majorité présidentielle),6806
2,LOURENÇO,Romuald,M.,DSV,Droite souverainiste,6806
3,BLUM,Pascal,M.,ECO,Ecologistes,6806
4,CLAUDEPIERRE,Florence,Mme,UG,Union de la gauche,6806
5,PINT,Denis,M.,REC,Reconquête !,6806
6,RITZ,Christelle,Mme,RN,Rassemblement National,6806
7,ROLDAN-SANCHEZ,Pablo,M.,DVD,Divers droite,6806
8,MULOT,Nathalie,Mme,EXG,Extrême gauche,6806
9,ROTH,Laurent,M.,REG,Régionaliste,6806
1,BELOUASSA-CHERIFI,Anaïs,Mme,UG,Union de la gauche,6901
2,RUDIGOZ,Thomas,M.,ENS,Ensemble ! (Majorité présidentielle),6901
3,ALVES,Brandon,M.,REC,Reconquête !,6901
4,MOUTON,Laurent,M.,RN,Rassemblement National,6901
5,SANSOZ,Grégory,M.,LR,Les Républicains,6901
6,BUGNI,Jim,M.,EXG,Extrême gauche,6901
7,LOPOUCHANSKY,Ivanka,Mme,EXG,Extrême gauche,6901
8,THIRIAT,Anne,Mme,REG,Régionaliste,6901
9,EYMERIC,Guillaume,M.,DIV,Divers,6901
1,TOUIHRI,Nizar,M.,DIV,Divers,6902
2,GUILLOTEAU,Maryll,Mme,LR,Les Républicains,6902
3,COULAN,Pascal,M.,DIV,Divers,6902
4,TERRENES,Loïc,M.,ENS,Ensemble ! (Majorité présidentielle),6902
5,BRUNO,Anthony,M.,EXG,Extrême gauche,6902
6,TAVERNIER,Boris,M.,UG,Union de la gauche,6902
7,BISLEAU,Anaëlle,Mme,RN,Rassemblement National,6902
8,BRIDAY,Delphine,Mme,EXG,Extrême gauche,6902
9,JOUTEUX,Michaël,M.,EXG,Extrême gauche,6902
10,ETENNE,Vanessa,Mme,REC,Reconquête !,6902
11,MAHMOUD-VINTAM,Karim,M.,REG,Régionaliste,6902
1,CHINAL,Marc,M.,DIV,Divers,6903
2,LAFOND,Éric,M.,REG,Régionaliste,6903
3,GARIN,Marie-Charlotte,Mme,UG,Union de la gauche,6903
4,BARRALLON,Anaïs,Mme,EXG,Extrême gauche,6903
5,RILLY,Marie,Mme,REC,Reconquête !,6903
6,EYNAUD-LASSALLE,Clara,Mme,ENS,Ensemble ! (Majorité présidentielle),6903
7,DE MONTILLE,Béatrice,Mme,LR,Les Républicains,6903
8,DUDUKDJIAN,Jean-Noël,M.,EXG,Extrême gauche,6903
9,BOURRET,Leo,M.,UDI,Union des Démocrates et Indépendants,6903
10,MORIN,Clotilde,Mme,RN,Rassemblement National,6903
1,RUNEL,Sandrine,Mme,UG,Union de la gauche,6904
2,JEGO,Tristan,M.,EXG,Extrême gauche,6904
3,QUEVY,Julien,M.,DIV,Divers,6904
4,CHAUMONT,Yannick,M.,RN,Rassemblement National,6904
5,LAURENT,Coralie,Mme,EXG,Extrême gauche,6904
6,VEL,Juliette,Mme,DIV,Divers,6904
7,BILLARD,Romain,M.,LR,Les Républicains,6904
8,BRUGNERA,Anne,Mme,ENS,Ensemble ! (Majorité présidentielle),6904
9,TORRENT,Armande,Mme,REC,Reconquête !,6904
1,BAZIN,Mathieu,M.,REC,Reconquête !,6905
